"","year","basin","ace","hurr_ace","major_ace","intense_ace","named_count","hurricane_count","major_hurricane_count","intense_hurricane_count","named_avg_max_mph","named_avg_max_ms","hurricane_avg_max_mph","hurricane_avg_max_ms","major_avg_max_mph","major_avg_max_ms","intense_avg_max_mph","intense_avg_max_ms","max_wind_mph","max_wind_ms","min_pressure","max_category","max_ace"
"90",1940,"Western Atlantic",67.79,26.26,NA,NA,9,7,NA,NA,86.4444444444444,38.58,94.7142857142857,42.2542857142857,94.7142857142857,42.2542857142857,94.7142857142857,42.2542857142857,109,48.868,961,2,13.9025
"91",1941,"Western Atlantic",51.765,34.805,NA,NA,6,4,3,1,95.1666666666667,42.438,115.25,51.44,115.25,51.44,115.25,51.44,132,59.156,962,4,13.9675
"92",1942,"Western Atlantic",62.485,39.39,NA,NA,11,4,1,NA,72.8181818181818,32.5007272727273,103.5,46.296,103.5,46.296,103.5,46.296,115,51.44,950,3,15.08
"93",1943,"Western Atlantic",94.01,59.785,7.965,7.965,10,5,2,1,85.8,38.3228,114,50.9256,114,50.9256,114,50.9256,138,61.728,967,4,27.5925
"94",1944,"Western Atlantic",104.4525,45.5725,22.22,22.22,14,8,3,2,84.4285714285714,37.6614285714286,103.875,46.296,103.875,46.296,103.875,46.296,144,64.3,937,4,22.73
"95",1945,"Western Atlantic",63.415,31.505,5.08,NA,11,5,2,1,79,35.3065454545455,107,47.8392,107,47.8392,107,47.8392,132,59.156,949,4,19.5275
"96",1946,"Western Atlantic",19.6125,13.395,5.9525,5.9525,7,4,NA,NA,70.7142857142857,31.5988571428571,92.25,41.152,92.25,41.152,92.25,41.152,98,43.724,975,2,5.9575
"97",1947,"Western Atlantic",88.49,61.53,14.285,NA,10,5,2,1,84.8,37.8084,111.8,49.8968,111.8,49.8968,111.8,49.8968,144,64.3,938,4,41.4475
"98",1948,"Western Atlantic",94.9775,47.1875,25.61,22.315,10,6,4,2,88.1,39.3516,111.333333333333,49.7253333333333,111.333333333333,49.7253333333333,111.333333333333,49.7253333333333,132,59.156,940,4,22.315
"99",1949,"Eastern Pacific",20.16,5.0625,NA,NA,6,2,NA,NA,63.3333333333333,28.292,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,5.0625
"100",1949,"Western Atlantic",96.4475,57.5725,28.75,13.53,16,8,2,1,78.875,35.20425,102.125,45.653,102.125,45.653,102.125,45.653,132,59.156,954,4,21.725
"101",1950,"Eastern Pacific",53.55,31.2075,11.8125,NA,7,6,NA,NA,81.1428571428571,36.3754285714286,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,12.0825
"102",1950,"Western Atlantic",211.2825,163.5475,67.995,32.3025,16,11,6,3,97.875,43.724,116.727272727273,52.1414545454545,116.727272727273,52.1414545454545,116.727272727273,52.1414545454545,144,64.3,946,4,47.5475
"103",1951,"Eastern Pacific",35.4825,11.8125,11.8125,NA,9,2,NA,NA,59.5555555555556,26.5773333333333,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,11.8125
"104",1951,"Western Atlantic",126.325,63.5625,31.8975,31.8975,12,8,3,2,89.75,40.0803333333333,104.375,46.6175,104.375,46.6175,104.375,46.6175,150,66.872,937,4,31.8975
"105",1952,"Eastern Pacific",34.7175,12.375,5.0625,NA,7,3,NA,NA,66.5714285714286,29.7617142857143,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,13.4325
"106",1952,"Western Atlantic",69.08,41.205,25.7125,9.6225,11,5,2,1,83.8181818181818,37.4109090909091,115.2,51.44,115.2,51.44,115.2,51.44,144,64.3,934,4,16.09
"107",1953,"Eastern Pacific",24.21,21.375,NA,NA,4,2,NA,NA,69,30.864,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,14.0625
"108",1953,"Western Atlantic",98.5075,59.9625,52.58,38.4675,14,7,3,1,79.7142857142857,35.6405714285714,103.571428571429,46.296,103.571428571429,46.296,103.571428571429,46.296,161,72.016,929,5,32.705
"109",1954,"Eastern Pacific",84.375,39.9375,9.5625,9.5625,11,4,NA,NA,64.3636363636364,28.7596363636364,86,38.58,86,38.58,86,38.58,86,38.58,981,1,17.4375
"110",1954,"Western Atlantic",110.88,71.9375,68.3975,26.84,17,8,3,1,79.1764705882353,35.4028235294118,106.375,47.582,106.375,47.582,106.375,47.582,132,59.156,938,4,33.3975
"111",1955,"Eastern Pacific",19.935,6.1875,6.1875,NA,6,2,NA,NA,63.3333333333333,28.292,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,6.1875
"112",1955,"Western Atlantic",158.17,76.4625,48.305,48.305,13,9,4,3,99.6923076923077,44.5153846153846,117.777777777778,52.5831111111111,117.777777777778,52.5831111111111,117.777777777778,52.5831111111111,173,77.16,914,5,31.555
"113",1956,"Eastern Pacific",47.9475,22.05,16.11,6.1875,11,7,NA,NA,73.6363636363636,32.9683636363636,86,38.58,86,38.58,86,38.58,86,38.58,NA,1,10.6875
"114",1956,"Western Atlantic",56.6725,28.415,NA,NA,12,4,1,NA,70.0833333333333,31.2926666666667,99.25,44.367,99.25,44.367,99.25,44.367,121,54.012,954,3,28.415
"115",1957,"Eastern Pacific",125.1399,98.5674,55.7775,6.1875,13,9,2,1,84.0769230769231,37.5907692307692,98.3333333333333,44.0097777777778,98.3333333333333,44.0097777777778,98.3333333333333,44.0097777777778,138,61.728,987,4,27.6024
"116",1957,"Western Atlantic",78.6625,1.4375,1.4375,NA,8,4,2,1,81.25,36.3295,106.5,47.582,106.5,47.582,106.5,47.582,138,61.728,945,4,55.76
